date,type,time_ny,note
2019-06-07,NFP,08:30,BLS release archive
2019-06-11,PPI,08:30,BLS release archive
2019-06-12,CPI,08:30,BLS release archive
2019-06-14,retail_sales,08:30,Census MARTS release dates
2019-06-19,FOMC,14:00,"scheduled meeting, statement 14:00"
2019-06-21,opex,09:30,quad witching; AM-settled index options settle at the open
2019-06-28,PCE,08:30,"Personal Income and Outlays, May 2019"
2019-07-03,early_close,13:15,NYSE half day
2019-07-04,early_close,13:00,exchange holiday: CME Globex-only session
2019-07-05,NFP,08:30,BLS release archive
2019-07-11,CPI,08:30,BLS release archive
2019-07-12,PPI,08:30,BLS release archive
2019-07-16,retail_sales,08:30,Census MARTS release dates
2019-07-19,opex,09:30,monthly; AM-settled index options settle at the open
2019-07-26,GDP_advance,08:30,"Gross Domestic Product, Second Quarter 2019 (Advance Estimate) and Annual Update"
2019-07-30,PCE,08:30,Personal Income and Outlays: June 2019
2019-07-31,FOMC,14:00,"scheduled meeting, statement 14:00"
2019-08-02,NFP,08:30,BLS release archive
2019-08-09,PPI,08:30,BLS release archive
2019-08-13,CPI,08:30,BLS release archive
2019-08-15,retail_sales,08:30,Census MARTS release dates
2019-08-16,opex,09:30,monthly; AM-settled index options settle at the open
2019-08-30,PCE,08:30,"Personal Income and Outlays, July 2019"
2019-09-02,early_close,13:00,exchange holiday: CME Globex-only session
2019-09-06,NFP,08:30,BLS release archive
2019-09-11,PPI,08:30,BLS release archive
2019-09-12,CPI,08:30,BLS release archive
2019-09-13,retail_sales,08:30,Census MARTS release dates
2019-09-18,FOMC,14:00,"scheduled meeting, statement 14:00"
2019-09-20,opex,09:30,quad witching; AM-settled index options settle at the open
2019-09-27,PCE,08:30,"Personal Income and Outlays, August 2019"
2019-10-04,NFP,08:30,BLS release archive
2019-10-08,PPI,08:30,BLS release archive
2019-10-10,CPI,08:30,BLS release archive
2019-10-16,retail_sales,08:30,Census MARTS release dates
2019-10-18,opex,09:30,monthly; AM-settled index options settle at the open
2019-10-30,FOMC,14:00,"scheduled meeting, statement 14:00"
2019-10-30,GDP_advance,08:30,"Gross Domestic Product, Third Quarter 2019 (Advance Estimate)"
2019-10-31,PCE,08:30,"Personal Income and Outlays, September 2019"
2019-11-01,NFP,08:30,BLS release archive
2019-11-13,CPI,08:30,BLS release archive
2019-11-14,PPI,08:30,BLS release archive
2019-11-15,opex,09:30,monthly; AM-settled index options settle at the open
2019-11-15,retail_sales,08:30,Census MARTS release dates
2019-11-27,PCE,08:30,"Personal Income and Outlays, October 2019"
2019-11-28,early_close,13:00,exchange holiday: CME Globex-only session
2019-11-29,early_close,13:15,NYSE half day
2019-12-06,NFP,08:30,BLS release archive
2019-12-11,CPI,08:30,BLS release archive
2019-12-11,FOMC,14:00,"scheduled meeting, statement 14:00"
2019-12-12,PPI,08:30,BLS release archive
2019-12-13,retail_sales,08:30,Census MARTS release dates
2019-12-20,PCE,08:30,"Personal Income and Outlays, November 2019"
2019-12-20,opex,09:30,quad witching; AM-settled index options settle at the open
2019-12-24,early_close,13:15,NYSE half day
2020-01-10,NFP,08:30,BLS release archive
2020-01-14,CPI,08:30,BLS release archive
2020-01-15,PPI,08:30,BLS release archive
2020-01-16,retail_sales,08:30,Census MARTS release dates
2020-01-17,opex,09:30,monthly; AM-settled index options settle at the open
2020-01-20,early_close,13:00,exchange holiday: CME Globex-only session
2020-01-29,FOMC,14:00,"scheduled meeting, statement 14:00"
2020-01-30,GDP_advance,08:30,"Gross Domestic Product, Fourth Quarter and Year 2019 (Advance Estimate)"
2020-01-31,PCE,08:30,"Personal Income and Outlays, December 2019"
2020-02-07,NFP,08:30,BLS release archive
2020-02-13,CPI,08:30,BLS release archive
2020-02-14,retail_sales,08:30,Census MARTS release dates
2020-02-17,early_close,13:00,exchange holiday: CME Globex-only session
2020-02-19,PPI,08:30,BLS release archive
2020-02-21,opex,09:30,monthly; AM-settled index options settle at the open
2020-02-28,PCE,08:30,"Personal Income and Outlays, January 2020"
2020-03-03,FOMC,10:00,unscheduled; statement released 10:00
2020-03-06,NFP,08:30,BLS release archive
2020-03-11,CPI,08:30,BLS release archive
2020-03-12,PPI,08:30,BLS release archive
2020-03-15,FOMC,17:00,"unscheduled; Sunday, no cash session"
2020-03-17,retail_sales,08:30,Census MARTS release dates
2020-03-20,opex,09:30,quad witching; AM-settled index options settle at the open
2020-03-27,PCE,08:30,Personal Income and Outlays: February 2020
2020-04-03,NFP,08:30,BLS release archive
2020-04-09,PPI,08:30,BLS release archive
2020-04-10,CPI,08:30,BLS release archive
2020-04-15,retail_sales,08:30,Census MARTS release dates
2020-04-17,opex,09:30,monthly; AM-settled index options settle at the open
2020-04-29,FOMC,14:00,"scheduled meeting, statement 14:00"
2020-04-29,GDP_advance,08:30,"Gross Domestic Product, 1st Quarter 2020 (Advance Estimate)"
2020-04-30,PCE,08:30,Personal Income and Outlays: March 2020
2020-05-08,NFP,08:30,BLS release archive
2020-05-12,CPI,08:30,BLS release archive
2020-05-13,PPI,08:30,BLS release archive
2020-05-15,opex,09:30,monthly; AM-settled index options settle at the open
2020-05-15,retail_sales,08:30,Census MARTS release dates
2020-05-25,early_close,13:00,exchange holiday: CME Globex-only session
2020-05-29,PCE,08:30,Personal Income and Outlays: April 2020
2020-06-05,NFP,08:30,BLS release archive
2020-06-10,CPI,08:30,BLS release archive
2020-06-10,FOMC,14:00,"scheduled meeting, statement 14:00"
2020-06-11,PPI,08:30,BLS release archive
2020-06-16,retail_sales,08:30,Census MARTS release dates
2020-06-19,opex,09:30,quad witching; AM-settled index options settle at the open
2020-06-26,PCE,08:30,Personal Income and Outlays: May 2020
2020-07-02,NFP,08:30,BLS release archive
