id,call,conf,slope_D,slope_4H,slope_1H,in_D,up_D,dn_D,in_4H,up_4H,dn_4H,in_1H,up_1H,dn_1H,in_15m,up_15m,dn_15m,eq_highs,eq_lows,run_lower_highs,run_higher_lows,on_pos,R1,R2,R3,R4,actual
768238,none,3,0.277,0.153,0.093,0,,0.32,0,,0.86,0,,0.14,-1,,0.18,0,0,5,4,0.69,long,long,long,long,long
496862,short,,-0.046,0.22,0.041,-1,0.99,0.58,-1,1.16,0.23,0,,0.04,-1,,0.04,0,1,5,4,0.92,none,none,long,short,short
220251,long,2,-0.085,0.214,-0.148,1,,0.69,1,0.47,0.65,1,0.39,0.2,0,0.04,,1,0,5,3,0.02,none,long,short,long,short
406320,long,2,0.048,0.359,0.112,0,,0.1,0,,0.1,0,,0.1,0,,0.08,0,1,3,5,0.43,long,short,short,long,long
102411,long,3,-0.011,0.31,0.138,-1,,0.37,1,,0.38,0,0.01,0.13,-1,0.09,0.15,0,0,4,3,0.52,long,long,long,long,long
597195,long,1,0.25,0.053,0.165,0,,1.62,0,,0.22,0,,0.1,0,,0.09,0,1,2,7,0.89,long,short,long,long,long
970176,none,3,0.042,-0.031,0.0,0,1.23,,0,0.13,0.19,0,0.18,0.19,0,0.09,,1,0,2,5,0.36,none,short,short,short,short
905100,long,1,0.1,0.221,-0.007,0,,0.02,1,,0.37,1,0.11,0.17,1,0.11,,0,0,5,3,0.04,long,long,short,long,short
770811,long,2,0.063,0.045,0.238,0,0.18,0.67,0,,0.11,0,,0.09,0,,0.04,0,1,2,2,0.96,long,long,long,short,short
160425,short,2,-0.011,0.2,0.074,0,0.23,0.47,0,,0.52,0,,0.05,0,,,0,1,4,6,0.9,long,long,long,short,short
517515,short,3,0.008,-0.223,0.002,0,0.54,1.58,0,0.27,,0,0.26,,0,0.04,,1,0,4,2,0.3,none,long,short,short,short
878524,short,2,-0.127,0.2,-0.021,0,0.26,,0,0.26,0.43,0,0.07,0.03,0,0.07,0.03,0,1,2,4,0.41,none,short,short,short,short
421212,none,3,0.187,0.141,0.044,0,,1.15,0,,0.51,0,,0.16,-1,0.02,0.29,1,0,3,3,0.6,long,long,long,long,short
227794,long,1,0.098,0.009,-0.01,0,,0.94,0,,0.73,0,0.03,0.06,0,0.08,0.07,0,1,3,4,0.15,none,short,short,long,long
348227,none,2,-0.086,-0.263,-0.16,0,1.33,,0,1.33,,0,0.45,,0,0.15,,0,0,7,5,0.11,short,short,short,short,long
808881,none,3,-0.203,-0.101,-0.009,0,3.05,,0,0.85,,0,0.97,,0,0.52,,0,1,5,2,0.04,short,long,short,short,long
992014,short,3,-0.059,-0.258,-0.304,0,0.92,0.54,0,0.33,,0,0.09,,0,0.14,,0,0,8,6,0.08,short,short,short,short,short
883920,long,1,0.231,0.125,-0.028,0,,1.37,0,,0.15,0,0.2,0.18,0,0.2,0.1,0,1,2,3,0.48,long,long,short,long,short
756857,long,1,0.237,0.281,0.061,0,,0.32,0,,0.03,0,,0.56,0,,0.02,0,0,2,4,0.69,long,short,long,long,long
976546,none,1,-0.104,-0.193,0.086,0,0.32,,0,0.08,1.14,0,0.02,0.34,0,,0.12,0,1,4,4,0.96,none,none,long,short,short
