id,bias,conf,up,move,hit,reach
635183,long,1,False,-156.75,False,False
542093,none,1,True,472.25,,False
657550,none,1,True,214.5,,False
446581,none,1,True,10.75,,True
393292,none,1,True,179.25,,True
552345,none,1,False,-345.5,,True
398680,none,1,True,30.25,,False
339495,long,1,True,1.5,True,False
108765,none,2,False,-117.0,,True
717943,short,1,False,-275.25,True,True
999250,short,2,True,257.5,False,False
802219,none,3,True,86.5,,True
877725,none,3,True,290.5,,False
564473,long,1,False,-350.25,False,False
920609,long,1,False,-468.25,False,True
915276,short,1,True,90.75,False,False
343736,long,1,True,343.5,True,True
728264,none,1,True,2032.75,,True
989398,none,3,True,119.25,,True
198420,long,1,False,-9.25,False,False
