id,bias,conf,up,move,hit,reach
768238,none,3,True,246.5,,False
496862,short,,False,-398.25,True,True
220251,long,2,False,-109.5,False,True
406320,long,2,True,201.5,True,True
102411,long,3,True,171.5,True,True
597195,long,1,True,52.75,True,True
970176,none,3,False,-392.0,,
905100,long,1,False,-27.5,False,False
770811,long,2,False,-3.0,False,True
160425,short,2,False,-125.5,True,True
517515,short,3,False,-61.0,True,True
878524,short,2,False,-229.75,True,True
421212,none,3,False,-892.0,,True
227794,long,1,True,10.0,True,True
348227,none,2,True,43.75,,
808881,none,3,True,130.75,,
992014,short,3,False,-453.0,True,True
883920,long,1,False,-34.5,False,False
756857,long,1,True,8.25,True,False
976546,none,1,False,-321.0,,False
635183,long,1,False,-156.75,False,False
542093,none,1,True,472.25,,False
657550,none,1,True,214.5,,False
446581,none,1,True,10.75,,True
393292,none,1,True,179.25,,True
552345,none,1,False,-345.5,,True
398680,none,1,True,30.25,,False
339495,long,1,True,1.5,True,False
108765,none,2,False,-117.0,,True
717943,short,1,False,-275.25,True,True
999250,short,2,True,257.5,False,False
802219,none,3,True,86.5,,True
877725,none,3,True,290.5,,False
564473,long,1,False,-350.25,False,False
920609,long,1,False,-468.25,False,True
915276,short,1,True,90.75,False,False
343736,long,1,True,343.5,True,True
728264,none,1,True,2032.75,,True
989398,none,3,True,119.25,,True
198420,long,1,False,-9.25,False,False
