id,family,taken,status,date,side,pnl,R
798098,OB,True,taken,2022-07-11,S,-26.0,-1.1304
834811,OTE,False,expired,2025-04-17,L,0.0,0.0
839094,OB,False,expired,2023-04-05,S,0.0,0.0
521136,OTE,True,taken,2026-05-27,L,-99.5,-1.0311
907469,AMD,False,skipped_rr,2026-02-10,L,148.5,0.7795
817352,OTE,False,expired,2019-06-13,S,0.0,0.0
662568,OB,True,taken,2026-07-27,S,-90.0,-1.0345
620448,OB,False,expired,2021-03-03,S,0.0,0.0
850266,AMD,True,taken,2026-08-17,L,-108.0,-1.0286
549800,OTE,False,expired,2022-12-20,S,0.0,0.0
991410,OTE,False,expired,2023-11-13,L,0.0,0.0
747520,OB,True,taken,2019-10-21,L,-18.0,-1.2
104738,OB,False,expired,2020-08-13,L,0.0,0.0
554093,AMD,False,skipped_rr,2022-11-14,L,71.0,0.408
500567,OTE,True,taken,2023-06-13,L,75.5,2.2537
950387,OB,True,taken,2024-08-22,L,-27.5,-1.1224
370143,OB,False,expired,2026-04-10,L,0.0,0.0
530333,OTE,True,taken,2024-06-24,L,-80.0,-1.039
149977,AMD,False,skipped_rr,2025-12-10,L,-201.5,-1.0151
350581,AMD,True,taken,2023-03-22,S,-58.5,-1.0541
921345,OB,True,taken,2021-09-16,S,51.0,1.8889
715743,OB,False,expired,2022-04-18,L,0.0,0.0
886182,AMD,True,taken,2019-07-18,S,-37.5,-1.087
302681,OTE,True,taken,2019-08-23,L,94.5,2.25
218294,OTE,False,expired,2020-02-14,L,0.0,0.0
329381,OTE,True,taken,2022-06-14,L,-88.0,-1.0353
207173,AMD,False,skipped_rr,2024-12-17,L,-160.5,-1.019
407440,AMD,True,taken,2020-09-11,L,-113.0,-1.0273
372726,AMD,False,skipped_rr,2023-10-09,L,54.0,0.3776
356554,AMD,True,taken,2021-12-22,S,-110.5,-1.0279
