family,side,entry_time,sweep_t,inv_t,pnl,R,sgn,sweep_delta,sweep_cum,sweep_div,entry_delta,stack,absorption,year
IFVG-1m,S,2019-07-18 09:40:00-04:00,2019-07-18 09:35:00-04:00,2019-07-18 09:40:00-04:00,-27.0,-1.125,-1,-333.0,-1037.0,-0.019250233982584984,469.0,2.0,90.37931034482759,2019
IFVG-1m,S,2019-08-01 09:54:00-04:00,2019-08-01 09:31:00-04:00,2019-08-01 09:54:00-04:00,-31.5,-1.105263157894737,-1,-227.0,-558.0,0.011336992901247823,174.0,1.0,93.78947368421052,2019
IFVG-1m,S,2019-08-13 09:31:00-04:00,2019-08-13 09:28:00-04:00,2019-08-13 09:31:00-04:00,-27.5,-1.1224489795918366,-1,,,,208.0,3.0,50.31818181818182,2019
IFVG-1m,L,2019-08-19 10:03:00-04:00,2019-08-19 10:01:00-04:00,2019-08-19 10:03:00-04:00,-18.5,-1.1935483870967742,1,-428.0,-547.0,0.03317003194145894,204.0,3.0,51.9,2019
IFVG-1m,S,2019-08-20 10:01:00-04:00,2019-08-20 09:57:00-04:00,2019-08-20 10:01:00-04:00,-38.0,-1.0857142857142856,-1,-208.0,198.0,-0.011905992515862008,150.0,2.0,50.5,2019
IFVG-1m,S,2019-09-03 09:57:00-04:00,2019-09-03 09:36:00-04:00,2019-09-03 09:57:00-04:00,79.5,2.890909090909091,-1,-257.0,-1002.0,0.0030952061417959323,189.0,1.0,54.388888888888886,2019
IFVG-1m,L,2019-09-13 10:14:00-04:00,2019-09-13 10:13:00-04:00,2019-09-13 10:14:00-04:00,46.5,2.8181818181818183,1,-100.0,744.0,0.03889514044589387,67.0,1.0,27.75,2019
IFVG-1m,L,2019-09-26 09:44:00-04:00,2019-09-26 08:42:00-04:00,2019-09-26 09:44:00-04:00,-29.0,-1.1153846153846154,1,,,,242.0,5.0,41.75,2019
IFVG-1m,L,2019-11-06 10:38:00-05:00,2019-11-06 10:28:00-05:00,2019-11-06 10:38:00-05:00,-16.0,-1.2307692307692308,1,-514.0,-2155.0,-0.04281731010437808,138.0,1.0,81.0,2019
IFVG-1m,L,2019-12-19 10:08:00-05:00,2019-12-19 10:05:00-05:00,2019-12-19 10:08:00-05:00,-12.5,-1.3157894736842106,1,-217.0,-201.0,-0.019289706228871065,108.0,2.0,45.77777777777778,2019
IFVG-1m,L,2020-01-31 10:31:00-05:00,2020-01-31 09:36:00-05:00,2020-01-31 10:31:00-05:00,-35.5,-1.0923076923076922,1,100.0,20.0,0.03230339477962036,368.0,3.0,58.0,2020
IFVG-1m,S,2020-02-03 10:05:00-05:00,2020-02-03 09:36:00-05:00,2020-02-03 10:05:00-05:00,-31.5,-1.105263157894737,-1,-164.0,-1077.0,-0.02339333752388955,691.0,4.0,70.16666666666667,2020
IFVG-1m,S,2020-03-09 10:21:00-04:00,2020-03-09 10:15:00-04:00,2020-03-09 10:21:00-04:00,-146.0,-1.020979020979021,-1,-162.0,-532.0,0.0421480835838223,202.0,4.0,7.6,2020
IFVG-1m,S,2020-03-30 09:53:00-04:00,2020-03-30 09:00:00-04:00,2020-03-30 09:53:00-04:00,-53.5,-1.0594059405940597,-1,,,,109.0,3.0,10.194805194805195,2020
IFVG-1m,S,2020-05-06 09:42:00-04:00,2020-05-06 09:35:00-04:00,2020-05-06 09:42:00-04:00,90.0,2.903225806451613,-1,-348.0,-618.0,-0.03766218184546931,-31.0,2.0,24.94,2020
IFVG-1m,L,2020-05-07 10:14:00-04:00,2020-05-07 09:37:00-04:00,2020-05-07 10:14:00-04:00,-25.0,-1.1363636363636365,1,241.0,480.0,0.029706891925769377,237.0,3.0,20.8125,2020
IFVG-1m,S,2020-07-15 09:31:00-04:00,2020-07-15 09:30:00-04:00,2020-07-15 09:31:00-04:00,-55.5,-1.0571428571428572,-1,-452.0,-452.0,-0.051551246872396324,-32.0,2.0,43.05747126436781,2020
IFVG-1m,L,2020-07-15 10:36:00-04:00,2020-07-15 10:15:00-04:00,2020-07-15 10:36:00-04:00,-105.0,-1.0294117647058822,1,-347.0,-2639.0,0.005846679884607527,276.0,13.0,31.147540983606557,2020
IFVG-1m,S,2020-07-20 09:57:00-04:00,2020-07-20 09:54:00-04:00,2020-07-20 09:57:00-04:00,-38.5,-1.0845070422535212,-1,152.0,-828.0,0.0021841221723280495,68.0,2.0,29.236363636363638,2020
IFVG-1m,L,2020-07-21 09:42:00-04:00,2020-07-21 09:39:00-04:00,2020-07-21 09:42:00-04:00,-64.5,-1.048780487804878,1,-700.0,-1376.0,-0.02107566928323267,558.0,6.0,39.977777777777774,2020
IFVG-1m,L,2020-07-21 10:31:00-04:00,2020-07-21 10:10:00-04:00,2020-07-21 10:31:00-04:00,-56.5,-1.0560747663551402,1,-655.0,269.0,0.021043000829923407,28.0,2.0,23.88235294117647,2020
IFVG-1m,S,2020-08-20 10:10:00-04:00,2020-08-20 09:43:00-04:00,2020-08-20 10:10:00-04:00,-44.0,-1.0731707317073171,-1,-329.0,-254.0,0.027368833517426278,226.0,3.0,19.46153846153846,2020
IFVG-1m,L,2020-08-24 10:10:00-04:00,2020-08-24 10:07:00-04:00,2020-08-24 10:10:00-04:00,-66.5,-1.047244094488189,1,103.0,-841.0,0.023217516256637774,228.0,4.0,30.472727272727273,2020
IFVG-1m,L,2020-08-24 10:49:00-04:00,2020-08-24 10:47:00-04:00,2020-08-24 10:49:00-04:00,-41.5,-1.077922077922078,1,-80.0,-1155.0,0.01879668570661277,224.0,5.0,39.094339622641506,2020
IFVG-1m,L,2020-09-03 10:25:00-04:00,2020-09-03 09:35:00-04:00,2020-09-03 10:25:00-04:00,-81.5,-1.038216560509554,1,505.0,-232.0,0.004511428016211558,424.0,4.0,28.061068702290076,2020
IFVG-1m,S,2020-09-08 10:32:00-04:00,2020-09-08 10:30:00-04:00,2020-09-08 10:32:00-04:00,280.5,2.9682539682539684,-1,-186.0,-4195.0,-0.009467715997756108,95.0,3.0,27.886363636363637,2020
IFVG-1m,L,2020-09-09 09:53:00-04:00,2020-09-09 09:51:00-04:00,2020-09-09 09:53:00-04:00,264.0,2.966292134831461,1,-263.0,-2565.0,-0.012221952378755813,180.0,6.0,23.54639175257732,2020
IFVG-1m,S,2020-09-10 10:37:00-04:00,2020-09-10 10:17:00-04:00,2020-09-10 10:37:00-04:00,147.0,2.94,-1,-54.0,-2105.0,-0.02781154830191364,102.0,2.0,22.081632653061224,2020
