sess,j,entry_time,side,stop,risk,close,smt,smt_type,sweep_j,ext,lvl,lvlB,gap_i,gap_top,gap_bot,inwin,zone,zones,tp,entry,exit_time,exit,reason,pnl,R,es_dist_pts,es_dist_atr,tercile
13,17638,2019-06-20 10:14:00-04:00,S,7798.25,10.75,7787.5,swing,level,17636,7797.75,7796.0,2961.0,17636,7793.0,7787.75,True,15m,15m,7755.25,7787.25,2019-06-20 10:38:00-04:00,7755.5,TP,61.5,2.86046511627907,0.25,0.126,near
24,31774,2019-07-05 09:39:00-04:00,L,7818.75,15.5,7834.25,swing,level,31676,7819.25,7867.0,2993.25,31770,7832.75,7831.5,True,4H,4H,7880.75,7834.5,2019-07-05 09:56:00-04:00,7818.5,SL,-34.0,-1.096774193548387,0.25,0.304,near
29,38560,2019-07-12 10:47:00-04:00,L,7919.75,8.75,7928.5,swing,level,38524,7920.25,7936.0,3007.75,38558,7926.75,7924.25,True,15m,15m,7954.75,7928.75,2019-07-12 11:59:00-04:00,7948.75,time,38.0,2.1714285714285713,0.0,0.0,near
33,43873,2019-07-18 09:40:00-04:00,S,7902.25,12.0,7890.25,swing,level,43868,7901.75,7888.75,2987.0,43870,7894.5,7892.25,True,1H,1H,7854.25,7890.0,2019-07-18 10:21:00-04:00,7902.5,SL,-27.0,-1.125,3.0,2.051,far
41,54727,2019-07-30 10:21:00-04:00,S,7977.5,16.5,7961.0,swing,level,54707,7977.0,7974.5,3016.25,54722,7967.0,7965.0,True,4H,1H+4H,7911.5,7960.75,2019-07-30 11:32:00-04:00,7977.75,SL,-36.0,-1.0909090909090908,2.5,1.013,mid
43,57424,2019-08-01 09:54:00-04:00,S,7935.25,14.25,7921.0,swing,level,57401,7934.75,7895.25,2989.5,57419,7925.0,7923.5,True,1H,1H,7878.25,7920.75,2019-08-01 10:00:00-04:00,7935.5,SL,-31.5,-1.105263157894737,4.25,2.315,far
49,65621,2019-08-09 10:13:00-04:00,L,7645.75,25.25,7671.0,swing,level,65616,7646.25,7657.25,2915.75,65617,7667.5,7660.75,True,1H,1H,7746.75,7671.25,2019-08-09 10:23:00-04:00,7645.5,SL,-53.5,-1.0594059405940597,-0.25,-0.082,near
51,68292,2019-08-13 09:31:00-04:00,S,7568.25,12.25,7556.0,swing,level,68289,7567.75,7566.75,2883.0,68290,7565.25,7561.75,True,1H,1H,7519.25,7555.75,2019-08-13 09:34:00-04:00,7568.5,SL,-27.5,-1.1224489795918366,3.0,1.114,mid
55,73771,2019-08-19 10:03:00-04:00,L,7711.0,7.75,7718.75,swing,level,73769,7711.5,7713.75,2919.0,73770,7718.25,7714.75,True,15m,15m,7742.0,7719.0,2019-08-19 10:09:00-04:00,7710.75,SL,-18.5,-1.1935483870967742,0.5,0.211,near
56,75133,2019-08-20 10:01:00-04:00,S,7707.25,17.5,7689.75,swing,level,75129,7706.75,7704.0,2912.0,75128,7697.5,7693.0,True,15m,15m,7637.25,7689.5,2019-08-20 10:10:00-04:00,7707.5,SL,-38.0,-1.0857142857142856,0.25,0.079,near
60,80599,2019-08-26 10:21:00-04:00,L,7510.25,14.5,7524.75,swing,level,80555,7510.75,7534.75,2865.5,80596,7524.25,7520.5,True,4H,15m+1H+4H,7568.25,7525.0,2019-08-26 11:13:00-04:00,7568.0,TP,84.0,2.896551724137931,1.75,0.476,mid
64,86010,2019-08-30 09:50:00-04:00,L,7726.5,8.5,7735.0,swing,level,85991,7727.0,7739.5,2935.25,86005,7734.5,7732.25,True,1H,1H,7760.5,7735.25,2019-08-30 09:56:00-04:00,7726.25,SL,-20.0,-1.1764705882352942,3.0,1.909,far
66,88518,2019-09-03 09:57:00-04:00,S,7677.25,13.75,7663.5,swing,level,88497,7676.75,7664.0,2915.5,88513,7669.5,7666.0,True,15m,15m,7622.25,7663.25,2019-09-03 10:04:00-04:00,7622.5,TP,79.5,2.890909090909091,6.25,1.995,far
74,99268,2019-09-13 10:14:00-04:00,L,7884.75,8.25,7893.0,PDL,level,99267,7885.25,7886.75,3001.0,99267,7892.0,7891.0,True,1D,1D+1H,7917.75,7893.25,2019-09-13 10:49:00-04:00,7917.5,TP,46.5,2.8181818181818183,8.75,4.016,far
81,108743,2019-09-24 10:20:00-04:00,L,7855.5,15.5,7871.0,swing,level,108738,7856.0,7866.0,3000.75,108739,7869.5,7862.25,True,15m,15m,7917.5,7871.25,2019-09-24 10:22:00-04:00,7855.25,SL,-34.0,-1.096774193548387,0.0,0.0,near
83,111427,2019-09-26 09:44:00-04:00,L,7771.25,13.0,7784.25,swing,level,111365,7771.75,7816.0,2986.75,111424,7782.5,7781.25,True,4H,4H,7823.25,7784.5,2019-09-26 09:55:00-04:00,7771.0,SL,-29.0,-1.1153846153846154,-0.5,-0.393,near
84,112836,2019-09-27 10:32:00-04:00,S,7766.5,7.5,7759.0,swing,level,112834,7766.0,7765.0,2980.25,112833,7761.75,7760.5,True,15m,15m,7736.5,7758.75,2019-09-27 10:36:00-04:00,7766.75,SL,-18.0,-1.2,-0.25,-0.101,near
107,144069,2019-10-30 10:30:00-04:00,S,8060.25,11.25,8049.0,swing,level,144066,8059.75,8056.75,3033.5,144066,8055.5,8052.75,True,15m,15m,8015.25,8048.75,2019-10-30 10:44:00-04:00,8060.5,SL,-25.5,-1.1333333333333333,0.25,0.119,near
