id,entry_time,side,smt,gap_mid,sweep
ifvg1m_01,2019-09-24 10:20:00-04:00,L,swing,2019-09-24 10:15:00-04:00,2019-09-24 10:15:00-04:00
ifvg1m_02,2020-08-14 10:34:00-04:00,L,swing,2020-08-14 10:28:00-04:00,2020-08-14 10:13:00-04:00
ifvg1m_03,2020-08-24 10:49:00-04:00,L,swing,2020-08-24 10:47:00-04:00,2020-08-24 10:47:00-04:00
ifvg1m_04,2020-09-23 09:30:00-04:00,S,swing,2020-09-23 09:28:00-04:00,2020-09-23 09:30:00-04:00
ifvg1m_05,2023-05-04 10:37:00-04:00,S,pivot,2023-05-04 10:35:00-04:00,2023-05-04 10:08:00-04:00
ifvg1m_06,2023-05-25 10:06:00-04:00,S,swing,2023-05-25 10:00:00-04:00,2023-05-25 10:05:00-04:00
ifvg1m_07,2024-01-29 10:08:00-05:00,L,swing,2024-01-29 10:03:00-05:00,2024-01-29 10:04:00-05:00
ifvg1m_08,2024-02-13 10:32:00-05:00,S,swing,2024-02-13 10:30:00-05:00,2024-02-13 10:21:00-05:00
ifvg1m_09,2024-10-17 10:12:00-04:00,L,swing,2024-10-17 10:09:00-04:00,2024-10-17 10:10:00-04:00
ifvg1m_10,2025-03-04 09:49:00-05:00,S,pivot,2025-03-04 09:46:00-05:00,2025-03-04 09:36:00-05:00
