tf,pattern,side,cond,n,pts6,base_pts6,atr6,base_atr6,pts12,base_pts12,atr12,base_atr12,pts24,base_pts24,atr24,base_atr24,held,base_held,excess12,n_2019-2022,excess12_2019-2022,p_2019-2022,n_2023-2026,excess12_2023-2026,p_2023-2026,passes
5m,engulfing,bear,all,9243,-0.6084063615709185,-0.3630012587722661,-0.024539870084728983,-0.01391630832309489,-0.3968408525370551,-0.5708604550028498,-0.02162160332260081,-0.02462419598997608,-1.1529345372460496,-1.4194029861610147,-0.049194216343750624,-0.04834452975311625,0.2816359049263046,0.13247837017855305,0.003002592667375268,4580,-0.039484078121977524,0.8731014300664867,4663,0.043485824242956155,0.09679572993872798,False
5m,engulfing,bear,overnight,2408,-0.19601328903654486,-0.36970879145589325,0.010462954682587726,-0.011225148427103286,-0.9383305647840532,-0.524629550170131,0.0016173574011578312,-0.018569385590749016,-1.2200791295746785,-1.3977249762081934,0.01733320177673939,-0.042275305705808446,0.29821958456973297,0.13608951123898125,0.02018674299190685,1207,-0.09717013376344626,0.9157552966723108,1201,0.13459954529989746,0.026509216886205465,False
5m,engulfing,bear,vwap2s,1275,-1.5335294117647058,-0.45444699521975535,-0.0466239614691932,-0.007981955138763727,-1.790392156862745,-0.48815063598747915,-0.052726398226076575,-0.009420777847000933,-0.42821100917431193,-1.373079923765701,-0.017934668761952686,-0.027981848243398208,0.29724770642201837,0.14281882434834434,-0.04330562037907564,605,-0.06805037114107863,0.7299006842120898,670,-0.022525050831577527,0.5863010225153389,False
5m,engulfing,bull,all,8889,0.020587242659466758,0.3321163982304072,0.009194768611362538,0.01323084712756132,-0.25075936550793115,0.5583582481302211,0.013354181621275324,0.02506013226403651,0.7664248849211884,1.4011059256444787,0.03516520623268514,0.04813842848926555,0.32696331426977265,0.1640938892463818,-0.011705950642761186,4374,0.015278019351454035,0.3327983572246612,4515,-0.03872478942905994,0.876610694984655,False
5m,engulfing,bull,overnight,1871,-0.9680652057723143,0.3101900474354834,-0.0339730629722308,0.00923020899841749,-1.2191341528594335,0.5522232825892608,-0.04063782161194826,0.01984396196043839,-2.8416509730069053,1.3720462586859634,-0.06330563531515321,0.0436214648074256,0.32454488386691777,0.16628741068296404,-0.06048178357238665,929,-0.04052125544132343,0.695955485937847,942,-0.08189611284608664,0.8610561321956441,False
5m,engulfing,bull,vwap2s,1000,-0.22775,0.3932233338876822,-0.05379171002391068,0.005304931168629864,-0.83725,0.4447525290534287,-0.07343385446065843,0.005824488203452907,0.6523972602739726,1.3522489590811537,0.011566049539462327,0.02592897404332761,0.384703196347032,0.17581281076350525,-0.07925834266411134,491,0.06307856099710046,0.3094677768742155,509,-0.21981595414396002,0.9724912194142433,False
5m,pin,bear,all,5314,-1.845079036507339,-0.363538976896132,-0.0386284066296331,-0.014694025507529266,-2.265807301467821,-0.5548023223256302,-0.049250600384041325,-0.02425872329167479,-4.643568416119963,-1.423887644970825,-0.12478032493571156,-0.04733471070947196,0.1780693533270853,0.13352711052197846,-0.024991877092366534,2562,-0.022778500439663087,0.6833588229830592,2752,-0.026693826990775448,0.7277757528038095,False
5m,pin,bear,overnight,1322,-3.3719742813918305,-0.3393536727662775,-0.059140110110128416,-0.011479595784132154,-1.8954236006051437,-0.49747292268222004,0.017561512007978137,-0.018647340170926518,-3.060523938572719,-1.3574466544203085,0.020194099850950893,-0.03883866695389787,0.17253839205058719,0.13826659551575274,0.036208852178904655,650,0.08036125281948124,0.21237110285353794,672,-0.009489083853041137,0.5397056798213504,False
5m,pin,bear,vwap2s,1052,-3.326996197718631,-0.4190116741283779,-0.09020463291827421,-0.009072051634487925,-4.903992395437262,-0.49501097934410654,-0.1540117406776676,-0.007945489706782832,-5.976956055734191,-1.373893867812605,-0.2008710764959514,-0.024751785326128074,0.2132904608788853,0.14829975265079254,-0.14606625097088477,512,0.026558775269259705,0.4192034146417358,540,-0.30940574095806367,0.9950417864661334,False
5m,pin,bull,all,6658,-0.7560078101531992,0.3445508886796731,-0.02317464385983127,0.01350042644577705,-0.1414839291078402,0.5732435814201452,-0.0037074030589587703,0.024446305398757303,1.0784205693296602,1.382976425337091,0.005777464622039566,0.04642567662680148,0.22846648301193756,0.16426350137957135,-0.028153708457716073,3113,-0.06778167568164084,0.9415831984672771,3545,0.0025962357059714923,0.47343594588897236,False
