date,j,fl,entry_time,side,close,stop,risk,ref,ext,atr10,manip,dir930,match,tp,entry,exit_time,exit,reason,pnl,R
2020-03-30,31,389,2020-03-30 10:01:00-04:00,S,7684.25,7705.5,21.25,7687.0,7705.0,28.296566277388305,up,up,True,7630.0,7684.0,2020-03-30 10:03:00-04:00,7705.75,SL,-45.5,-1.0705882352941176
2020-04-23,32,389,2020-04-23 10:02:00-04:00,S,8716.75,8736.5,19.75,8722.75,8736.0,16.38766416300103,up,up,True,8661.75,8716.5,2020-04-23 10:08:00-04:00,8736.75,SL,-42.5,-1.0759493670886076
2020-09-30,32,389,2020-09-30 10:02:00-04:00,S,11416.5,11435.0,18.5,11418.25,11434.5,21.84188720900107,up,up,True,11310.25,11416.25,2020-09-30 10:10:00-04:00,11435.25,SL,-40.0,-1.0810810810810811
2020-12-14,31,389,2020-12-14 10:01:00-05:00,S,12517.5,12530.5,13.0,12519.75,12530.0,13.983854624793796,up,up,True,12486.0,12517.25,2020-12-14 10:14:00-05:00,12530.75,SL,-29.0,-1.1153846153846154
2021-01-18,33,200,2021-01-18 10:03:00-05:00,S,12810.25,12815.5,5.25,12810.75,12815.0,6.879567989100074,up,up,True,12784.25,12810.0,2021-01-18 12:50:00-05:00,12812.0,time,-6.0,-0.5714285714285714
2021-03-05,31,389,2021-03-05 10:01:00-05:00,L,12430.25,12385.25,45.0,12423.5,12385.75,49.03537728221668,down,down,True,12525.0,12430.5,2021-03-05 10:12:00-05:00,12385.0,SL,-93.0,-1.0333333333333334
2021-03-22,31,389,2021-03-22 10:01:00-04:00,S,13002.5,13027.25,24.75,13008.0,13026.75,18.155077977755887,up,up,True,12946.25,13002.25,2021-03-22 10:28:00-04:00,13027.5,SL,-52.5,-1.0606060606060606
2021-03-29,31,389,2021-03-29 10:01:00-04:00,L,12858.0,12835.25,22.75,12854.75,12835.75,24.71205946140513,down,down,True,12977.5,12858.25,2021-03-29 10:02:00-04:00,12835.0,SL,-48.5,-1.065934065934066
2021-06-10,39,389,2021-06-10 10:09:00-04:00,S,13942.5,13960.75,18.25,13944.0,13960.25,22.88859858184517,up,up,True,13811.25,13942.25,2021-06-10 15:54:00-04:00,13961.0,SL,-39.5,-1.082191780821918
2021-06-16,31,389,2021-06-16 10:01:00-04:00,S,14079.0,14087.0,8.0,14079.75,14086.5,10.036808926620408,up,up,True,14042.5,14078.75,2021-06-16 10:06:00-04:00,14087.25,SL,-19.0,-1.1875
