date,entry_time,side,O,A,manip,ext,signal_t,target,be_level,stop,fill,entry,risk,exit_time,exit,reason,pnl,R,match,on_ratio
2019-06-04,2019-06-04 10:10:00-04:00,L,7039.75,11.68469808206649,down,7032.5,2019-06-04 10:02:00-04:00,7067.5,,7034.5,7040.0,7040.25,5.5,2019-06-04 10:22:00-04:00,7067.25,TP,52.0,4.7272727272727275,True,
2020-02-12,2020-02-12 10:20:00-05:00,S,9582.0,9.60798427724026,up,9590.75,2020-02-12 10:04:00-05:00,9561.0,,9585.3,9581.25,9581.0,4.05,2020-02-12 11:04:00-05:00,9585.55,SL,-11.099999999998545,-1.3703703703701908,True,0.8291032148900169
2020-04-23,2020-04-23 10:15:00-04:00,S,8722.75,16.38766416300103,up,8736.0,2020-04-23 10:03:00-04:00,8661.75,,8730.75,8719.25,8719.0,11.5,2020-04-23 10:17:00-04:00,8731.0,SL,-26.0,-1.1304347826086956,True,0.5581675708257987
2020-07-06,2020-07-06 10:12:00-04:00,S,10519.25,11.019114317867741,up,10543.0,2020-07-06 10:07:00-04:00,10476.0,,10521.9,10514.25,10514.0,7.65,2020-07-06 10:13:00-04:00,10522.15,SL,-18.299999999999272,-1.1960784313725015,True,1.2788732394366198
2020-07-30,2020-07-30 10:15:00-04:00,L,10543.5,24.190674130854077,down,10521.25,2020-07-30 10:02:00-04:00,10621.25,,10539.05,10552.75,10553.0,13.7,2020-07-30 10:18:00-04:00,10538.8,SL,-30.400000000001455,-1.1094890510949438,True,1.499531396438613
2020-08-05,2020-08-05 10:03:00-04:00,S,11109.0,14.331840062245593,up,11118.0,2020-08-05 10:01:00-04:00,11065.0,,11116.0,11107.5,11107.25,8.5,2020-08-05 10:07:00-04:00,11116.25,SL,-20.0,-1.1764705882352942,True,0.673058485139022
2020-09-24,2020-09-24 10:42:00-04:00,S,10835.75,35.50012605871228,up,10936.5,2020-09-24 10:31:00-04:00,10704.0,,10845.9,10822.25,10822.0,23.65,2020-09-24 10:46:00-04:00,10846.15,SL,-50.29999999999927,-1.063424947145862,True,1.0243572395128553
2020-10-12,2020-10-12 10:05:00-04:00,L,11887.75,20.4824245197662,down,11868.0,2020-10-12 10:03:00-04:00,11945.75,,11888.15,11897.75,11898.0,9.6,2020-10-12 10:09:00-04:00,11887.9,SL,-22.200000000000728,-1.156250000000038,True,1.4303112313937754
2020-10-23,2020-10-23 10:20:00-04:00,L,11614.5,15.794884723137887,down,11568.75,2020-10-23 10:19:00-04:00,11682.5,11629.0,11604.2,11617.25,11617.5,13.05,2020-10-23 10:23:00-04:00,11603.95,SL,-29.099999999998545,-1.1149425287355763,True,0.5732586068855084
2020-12-14,2020-12-14 10:06:00-05:00,S,12519.75,13.983854624793796,up,12530.0,2020-12-14 10:02:00-05:00,12486.0,,12522.0,12516.0,12515.75,6.0,2020-12-14 10:07:00-05:00,12522.25,SL,-15.0,-1.25,True,0.6753246753246753
