id,date,entry_time,side
powell2_01,2020-06-29,2020-06-29 10:07:00-04:00,S
powell2_02,2020-07-30,2020-07-30 10:15:00-04:00,L
powell2_03,2021-08-17,2021-08-17 10:04:00-04:00,L
powell2_04,2022-03-16,2022-03-16 10:06:00-04:00,S
powell2_05,2022-07-08,2022-07-08 10:07:00-04:00,L
powell2_06,2022-09-26,2022-09-26 10:05:00-04:00,S
powell2_07,2023-08-08,2023-08-08 10:06:00-04:00,L
powell2_08,2023-11-13,2023-11-13 10:06:00-05:00,L
powell2_09,2025-03-07,2025-03-07 10:05:00-05:00,L
powell2_10,2026-06-23,2026-06-23 10:33:00-04:00,S
