id,date,entry_time,side
powell_01,2019-12-09,2019-12-09 10:06:00-05:00,S
powell_02,2020-11-10,2020-11-10 10:03:00-05:00,L
powell_03,2020-11-27,2020-11-27 10:02:00-05:00,S
powell_04,2021-03-05,2021-03-05 10:01:00-05:00,L
powell_05,2021-03-22,2021-03-22 10:01:00-04:00,S
powell_06,2021-08-10,2021-08-10 10:03:00-04:00,S
powell_07,2022-08-17,2022-08-17 10:04:00-04:00,L
powell_08,2023-04-17,2023-04-17 10:03:00-04:00,S
powell_09,2023-10-23,2023-10-23 10:04:00-04:00,L
powell_10,2023-11-06,2023-11-06 10:02:00-05:00,S
