Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2020-01-07 13:00,time,8856.25,1,17769.5,-59,-0.33,2,5.5,0.03,-66,-0.37,-59,-0.24,56
1,Entry long,2020-01-07 08:20,L|ORB|or:42.3|pd:31|on:botBreak|gap:+3|ent:close|risk:50|rr:0|n:1|h:11|m:20|dow:3,8884.75,1,17769.5,-59,-0.33,2,5.5,0.03,-66,-0.37,-59,-0.24,56
2,Exit long,2020-01-13 13:00,time,9085,1,18070.5,97.5,0.54,2,103,0.57,-10,-0.06,38.5,0.15,61
2,Entry long,2020-01-13 07:55,L|ORB|or:26.5|pd:35|on:topBreak|gap:+34.5|ent:close|risk:31.75|rr:0|n:1|h:10|m:55|dow:2,9035.25,1,18070.5,97.5,0.54,2,103,0.57,-10,-0.06,38.5,0.15,61
3,Exit long,2020-01-15 10:30,SL,9050.25,1,18168.5,-70,-0.39,2,22.5,0.12,-69,-0.38,-31.5,-0.13,43
3,Entry long,2020-01-15 06:55,L|ORB|or:28.3|pd:47|on:topBreak|gap:+3.5|ent:close|risk:33.5|rr:0|n:1|h:9|m:55|dow:4,9084.25,1,18168.5,-70,-0.39,2,22.5,0.12,-69,-0.38,-31.5,-0.13,43
4,Exit long,2020-01-22 12:05,SL,9211.25,1,18497,-76.5,-0.41,2,10,0.05,-75.5,-0.41,-108,-0.43,54
4,Entry long,2020-01-22 07:35,L|ORB|or:29.5|pd:62|on:topBreak|gap:+43.8|ent:close|risk:36.75|rr:0|n:1|h:10|m:35|dow:4,9248.5,1,18497,-76.5,-0.41,2,10,0.05,-75.5,-0.41,-108,-0.43,54
5,Exit short,2020-01-29 13:00,time,9131.25,1,18241,-23.5,-0.13,2,95.5,0.52,-75.5,-0.41,-131.5,-0.53,75
5,Entry short,2020-01-29 06:45,S|ORB|or:22.3|pd:19|on:topBreak|gap:+50.8|ent:close|risk:38.5|rr:0|n:1|h:9|m:45|dow:4,9120.5,1,18241,-23.5,-0.13,2,95.5,0.52,-75.5,-0.41,-131.5,-0.53,75
6,Exit short,2020-01-31 13:00,time,9006.75,1,18205,189.5,1.04,2,274,1.50,-24,-0.13,58,0.23,72
6,Entry short,2020-01-31 07:00,S|ORB|or:61|pd:49|on:botBreak|gap:+37.8|ent:close|risk:81.75|rr:0|n:1|h:10|m:0|dow:6,9102.5,1,18205,189.5,1.04,2,274,1.50,-24,-0.13,58,0.23,72
7,Exit long,2020-02-03 13:00,time,9099.25,1,18214,-17.5,-0.10,2,96.5,0.53,-38,-0.21,40.5,0.16,75
7,Entry long,2020-02-03 06:45,L|ORB|or:58.8|pd:27|on:topBreak|gap:+46.8|ent:close|risk:71.5|rr:0|n:1|h:9|m:45|dow:2,9107,1,18214,-17.5,-0.10,2,96.5,0.53,-38,-0.21,40.5,0.16,75
8,Exit long,2020-02-04 13:00,time,9341.25,1,18560.5,120,0.65,2,157.5,0.85,-12,-0.06,160.5,0.64,67
8,Entry long,2020-02-04 07:25,L|ORB|or:42.5|pd:35|on:topBreak|gap:+126.8|ent:close|risk:53.5|rr:0|n:1|h:10|m:25|dow:3,9280.25,1,18560.5,120,0.65,2,157.5,0.85,-12,-0.06,160.5,0.64,67
9,Exit long,2020-02-06 13:00,time,9446,1,18834,56,0.30,2,77,0.41,-21.5,-0.11,216.5,0.87,65
9,Entry long,2020-02-06 07:35,L|ORB|or:45|pd:32|on:botBreak|gap:+20.5|ent:close|risk:54.25|rr:0|n:1|h:10|m:35|dow:5,9417,1,18834,56,0.30,2,77,0.41,-21.5,-0.11,216.5,0.87,65
10,Exit long,2020-02-07 13:00,time,9411.75,1,18868.5,-47,-0.25,2,57.5,0.30,-97.5,-0.52,169.5,0.68,64
10,Entry long,2020-02-07 07:40,L|ORB|or:39.5|pd:42|on:botBreak|gap:-41.8|ent:close|risk:49.5|rr:0|n:1|h:10|m:40|dow:6,9434.25,1,18868.5,-47,-0.25,2,57.5,0.30,-97.5,-0.52,169.5,0.68,64
11,Exit short,2020-02-12 08:25,SL,9604.5,1,19141,-70,-0.37,2,22,0.11,-69,-0.36,99.5,0.40,19
11,Entry short,2020-02-12 06:50,S|ORB|or:24.8|pd:23|on:topBreak|gap:+55.3|ent:close|risk:33.5|rr:0|n:1|h:9|m:50|dow:4,9570.5,1,19141,-70,-0.37,2,22,0.11,-69,-0.36,99.5,0.40,19
12,Exit long,2020-02-19 13:00,time,9737,1,19434,38,0.20,2,62.5,0.32,-14,-0.07,137.5,0.55,69
12,Entry long,2020-02-19 07:15,L|ORB|or:30|pd:38|on:topBreak|gap:+54.3|ent:close|risk:35.75|rr:0|n:1|h:10|m:15|dow:4,9717,1,19434,38,0.20,2,62.5,0.32,-14,-0.07,137.5,0.55,69
13,Exit short,2020-02-20 13:00,time,9634.75,1,19323,51.5,0.27,2,289,1.50,-2,-0.01,189,0.76,58
13,Entry short,2020-02-20 08:10,S|ORB|or:32.8|pd:49|on:botBreak|gap:-23.3|ent:close|risk:57.75|rr:0|n:1|h:11|m:10|dow:5,9661.5,1,19323,51.5,0.27,2,289,1.50,-2,-0.01,189,0.76,58
14,Exit short,2020-02-21 13:00,time,9456.5,1,18966,51,0.27,2,142,0.75,-106.5,-0.56,240,0.96,75
14,Entry short,2020-02-21 06:45,S|ORB|or:78.3|pd:37|on:botBreak|gap:-44.8|ent:close|risk:122|rr:0|n:1|h:9|m:45|dow:6,9483,1,18966,51,0.27,2,142,0.75,-106.5,-0.56,240,0.96,75
15,Exit short,2020-02-27 08:15,SL,8723.25,1,17213,-235.5,-1.37,2,172,1.00,-234.5,-1.36,4.5,0.02,11
15,Entry short,2020-02-27 07:20,S|ORB|or:91.3|pd:41|on:botBreak|gap:-222.3|ent:close|risk:116.25|rr:0|n:1|h:10|m:20|dow:5,8606.5,1,17213,-235.5,-1.37,2,172,1.00,-234.5,-1.36,4.5,0.02,11
16,Exit long,2020-03-09 13:00,time,7897.75,1,16142,-348.5,-2.16,2,337.5,2.09,-381,-2.36,-344,-1.38,73
16,Entry long,2020-03-09 06:55,L|ORB|or:221.3|pd:87|on:below|gap:-506.5|ent:close|risk:270.25|rr:0|n:1|h:9|m:55|dow:2,8071,1,16142,-348.5,-2.16,2,337.5,2.09,-381,-2.36,-344,-1.38,73
17,Exit short,2020-03-12 06:55,SL,7525.5,1,14806,-247,-1.67,2,43.5,0.29,-246,-1.66,-591,-2.36,1
17,Entry short,2020-03-12 06:50,S|ORB|or:83.3|pd:25|on:below|gap:-473.8|ent:close|risk:122|rr:0|n:1|h:9|m:50|dow:5,7403,1,14806,-247,-1.67,2,43.5,0.29,-246,-1.66,-591,-2.36,1
18,Exit short,2020-03-13 12:50,SL,7747.75,1,14892,-605.5,-4.07,2,310,2.08,-604.5,-4.06,-1196.5,-4.79,59
18,Entry short,2020-03-13 07:55,S|ORB|or:247|pd:44|on:topBreak|gap:+435.3|ent:close|risk:301.25|rr:0|n:1|h:10|m:55|dow:6,7446,1,14892,-605.5,-4.07,2,310,2.08,-604.5,-4.06,-1196.5,-4.79,59
19,Exit long,2020-03-18 10:25,SL,6943.25,1,14451,-566.5,-3.92,2,198,1.37,-565.5,-3.91,-1763,-7.05,41
19,Entry long,2020-03-18 06:50,L|ORB|or:239.5|pd:40|on:botBreak|gap:-493|ent:close|risk:281.75|rr:0|n:1|h:9|m:50|dow:4,7225.5,1,14451,-566.5,-3.92,2,198,1.37,-565.5,-3.91,-1763,-7.05,41
20,Exit long,2020-03-26 13:00,time,7837,1,15333.5,338.5,2.21,2,452.5,2.95,-90.5,-0.59,-1424.5,-5.70,71
20,Entry long,2020-03-26 07:05,L|ORB|or:123.8|pd:32|on:topBreak|gap:+66.8|ent:close|risk:152.75|rr:0|n:1|h:10|m:5|dow:5,7666.75,1,15333.5,338.5,2.21,2,452.5,2.95,-90.5,-0.59,-1424.5,-5.70,71
21,Exit long,2020-03-30 13:00,time,7843,1,15459.5,224.5,1.45,2,309,2.00,-44.5,-0.29,-1200,-4.80,71
21,Entry long,2020-03-30 07:05,L|ORB|or:82.5|pd:34|on:topBreak|gap:+88.8|ent:close|risk:100|rr:0|n:1|h:10|m:5|dow:2,7729.75,1,15459.5,224.5,1.45,2,309,2.00,-44.5,-0.29,-1200,-4.80,71
22,Exit short,2020-04-03 13:00,time,7525.5,1,15112,59,0.39,2,264,1.75,-30.5,-0.20,-1141,-4.56,66
