Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-10-02 08:20,TP,15011,1,29848,172,0.58,2,173,0.58,-38.5,-0.13,172,0.69,17
1,Entry long,2023-10-02 06:55,L|80|open:below|acc:6|risk:64.25|rr:1.4|va:121|h:9|m:55|cov:100,14924,1,29848,172,0.58,2,173,0.58,-38.5,-0.13,172,0.69,17
2,Exit long,2023-10-12 08:10,TP,15447,1,30806,86,0.28,2,87,0.28,-13.5,-0.04,258,1.03,6
2,Entry long,2023-10-12 07:40,L|80|open:below|acc:6|risk:22.25|rr:2|va:53|h:10|m:40|cov:100,15403,1,30806,86,0.28,2,87,0.28,-13.5,-0.04,258,1.03,6
3,Exit short,2023-10-19 07:10,SL,15082.75,1,30087.5,-80,-0.27,2,5.5,0.02,-79,-0.26,178,0.71,2
3,Entry short,2023-10-19 07:00,S|80|open:above|acc:6|risk:39|rr:1.4|va:75|h:10|m:0|cov:100,15043.75,1,30087.5,-80,-0.27,2,5.5,0.02,-79,-0.26,178,0.71,2
4,Exit long,2024-01-04 08:25,TP,16584,1,33026,140,0.42,2,141,0.43,-20,-0.06,318,1.27,11
4,Entry long,2024-01-04 07:30,L|80|open:below|acc:6|risk:37.75|rr:1.9|va:87|h:10|m:30|cov:100,16513,1,33026,140,0.42,2,141,0.43,-20,-0.06,318,1.27,11
5,Exit short,2024-01-12 08:15,SL,16989.25,1,33902,-78.5,-0.23,2,17.5,0.05,-77.5,-0.23,239.5,0.96,3
5,Entry short,2024-01-12 08:00,S|80|open:above|acc:6|risk:38.25|rr:0.9|va:57|h:11|m:0|cov:100,16951,1,33902,-78.5,-0.23,2,17.5,0.05,-77.5,-0.23,239.5,0.96,3
6,Exit short,2024-01-24 07:15,SL,17705.25,1,35339.5,-73,-0.21,2,61.5,0.17,-72,-0.20,166.5,0.67,4
